,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0,0,5.013291350761819,3.333342738763048,1.9956205522450134,0.28355420487737987,Iris-setosa
1,1,4.466219195987651,2.3557246899854984,1.5155232896904796,0.7670266434053518,Iris-versicolor
2,2,6.028866656223794,2.634932641561984,3.508168985713686,0.8288300206053348,Iris-versicolor
3,3,5.666084352982983,2.5576828427446765,3.963696893472217,2.0322765514823873,Iris-versicolor
4,4,4.355419326998267,3.373455477100886,1.133260667941254,0.48456427370226296,Iris-setosa
5,5,6.394815785886272,3.472240255975912,4.811815174165069,1.8901313967973283,Iris-virginica
6,6,6.8517418501005745,2.1616654838418876,4.937271216267918,2.3739337865148293,Iris-versicolor
7,7,5.798148941035113,3.8131847155899483,4.5559692353399255,1.463857883084555,Iris-versicolor
8,8,6.802739432000793,3.6893545535521195,4.994120635053368,1.7871548340752292,Iris-virginica
9,9,4.950657960193665,3.4564876087686267,2.4307295234236275,0.7074245268436086,Iris-versicolor
10,10,7.137333851101541,2.808290203871535,6.608151889723479,2.1903037192114505,Iris-versicolor
11,11,4.540209009814802,3.879914955800203,1.1151897681385403,0.17218944081373944,Iris-setosa
12,12,5.637117571417005,3.423537439740231,2.876478160488408,0.28434574037494786,Iris-virginica
13,13,6.754199496973939,3.102837199243787,3.350699449712164,1.037552656097007,Iris-virginica
14,14,7.84116266720942,2.9878929385633213,6.6367884697291855,2.4997270015398616,Iris-versicolor
15,15,4.569405804763105,3.1432891208318128,1.8890872068400655,1.3595541400421618,Iris-setosa
16,16,5.3108082343570775,3.585221266091123,2.4101929705300282,0.2820873106247155,Iris-setosa
17,17,7.196811887114147,3.121565907585469,6.5249509176981135,2.4241298548031605,Iris-virginica
18,18,7.170329692611412,2.856077104163993,6.325031036328838,2.1452453306417363,Iris-versicolor
19,19,5.149749284211374,3.15583503996068,3.154429091899228,0.5655160201407614,Iris-virginica
20,20,5.0268385665100395,3.56739804163817,2.479948042221127,0.5992093536756091,Iris-setosa
21,21,5.313977582245703,2.946283063259295,4.195945435640999,1.1381241834679365,Iris-virginica
22,22,5.505512914835154,2.7348613100522474,3.0251323394026683,0.8716846240286107,Iris-versicolor
23,23,6.698651856730378,2.839711905024513,6.779307846269951,1.976466770661007,Iris-virginica
24,24,5.145713765921251,3.2926045751646527,1.6256420981164965,1.5215321716724428,Iris-virginica
25,25,6.245551002836447,2.7333114097949713,6.275173677049436,1.6502628274010378,Iris-virginica
26,26,7.83447425934956,2.7724971567566565,6.8893703223726135,2.4952150769492376,Iris-virginica
27,27,6.612661746304333,3.315700539838928,2.4531620672380914,0.3213687434468808,Iris-versicolor
28,28,6.064874027127738,3.2079556241986498,3.6417503355039513,2.0788796571940296,Iris-virginica
29,29,5.4838198064603025,3.445246734395672,2.3720432435426373,0.9275891589423059,Iris-versicolor
30,30,5.526586383471577,3.4265117337177053,2.30121364918306,0.3775649798066235,Iris-setosa
31,31,5.904524601619281,3.109378610828872,4.758258190790622,1.8582796651439255,Iris-virginica
32,32,5.58543005161035,2.6654309812001977,3.1454895757433077,0.8769956345204192,Iris-setosa
33,33,7.244122557147032,3.2710653024617877,5.769531654920842,1.8715540021095167,Iris-virginica
34,34,5.571755831377684,3.286138633232772,1.3905427993506745,0.7448450354360029,Iris-setosa
35,35,6.316832866948828,3.0832305879449606,4.775557886906302,1.812685842592486,Iris-virginica
36,36,6.212165358347224,2.023169190436834,5.499528816240911,1.8845185148203598,Iris-versicolor
37,37,6.323084034041838,2.9857791731701306,5.0835145763839265,1.3696772365174998,Iris-virginica
38,38,5.483196219658314,2.1628750912086394,5.397468505513349,0.9039720257377728,Iris-versicolor
39,39,5.609896224816681,3.2406576222936656,5.213511385210955,1.6949372326135106,Iris-virginica
40,40,6.404655082412451,3.47312554242619,3.5731923554640956,0.24895780756165387,Iris-setosa
41,41,6.10422008971877,3.591615256481145,2.8810321853913927,0.9699468929738556,Iris-setosa
42,42,7.337961031749244,3.6424702508219844,4.343568260811751,1.268806320687538,Iris-virginica
43,43,5.600204708451247,2.9235653396969394,2.7076841641350966,1.787252664414529,Iris-virginica
44,44,6.773711225480615,3.049522251631036,5.776661607574242,2.487094694008686,Iris-virginica
